day;time;title;subtitle;location;link
2022-06-09;14:00;Introduction & Performative Opening;;Aula;
2022-06-09;15:00;Laurel Schwulst;;Aula;/speakers/laurel-schwulst
2022-06-09;16:00;Short Break;;;
2022-06-09;16:15;Olia Lialina & Harald Peter Ström;Panel;;
2022-06-09;17:45;Short Break;;;
2022-06-09;18:00;DVTK - Kim Boutin;;Aula;/speakers/dvtk
2022-06-09;19:00;Kexin Hao;;Aula;/speakers/kexin-hao
2022-06-09;20:00;Evening Program t.b.a;;;
2022-06-10;10:00;Breakfast / Yoga;;;
2022-06-10;11:00;Yehwan Song;;Aula;/speakers/yehwan-song
2022-06-10;12:00;Lutz Issler;;Aula;/speakers/lutz-issler
2022-06-10;13:00;Lunch Break;;Mensa;
2022-06-10;14:00;Laiqa Mohid;;Aula;/speakers/laiqa-mohid
2022-06-10;15:00;Vera van de Seyp;;Aula;/speakers/vera-van-de-seyp
2022-06-10;16:00;Short Break;;;
2022-06-10;16:15;Laiqa Mohid, Yehwan Song, Marco Land;Panel;Aula;
2022-06-10;17:45;Short Break;;;
2022-06-10;18:00;Liebermann Kiepe Reddemann;"Scroll Bar";;/speakers/liebermann-kiepe-reddemann
2022-06-10;19:00;Evening Program & Party t.b.a;;;
2022-06-11;10:00;Breakfast ;;;
2022-06-11;11:00;t.b.a;;Aula;
2022-06-11;12:00;t.b.a;Panel;Aula;
2022-06-11;13:00;Open End;;;
